"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"Tata Communications","TATA","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Tata Consultancy","TCS","Strong Sell","Strong Sell","Sell","Strong Buy"
"Tata Global Beverages","TAGL","Sell","Neutral","Neutral","Neutral"
"Tata Motors","TAMO","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Tata Motors DV Ltd","TAMdv","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Tata Power Co.","TTPW","Neutral","Strong Buy","Neutral","Strong Sell"
"Tata Steel Ltd","TISC","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Tech Mahindra","TEML","Strong Buy","Neutral","Strong Buy","Strong Buy"
"The Ramco Cements","TRCE","Strong Sell","Strong Sell","Strong Sell","Sell"
"Titan Company","TITN","Strong Sell","Neutral","Strong Sell","Buy"
"Torrent Pharma","TORP","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Torrent Power Ltd","TOPO","Strong Sell","Neutral","Sell","Neutral"
"TV18 Broadcast","TVEB","Strong Sell","Neutral","Strong Sell","Strong Sell"
"TVS Motor Company","TVSM","Sell","Neutral","Strong Sell","Sell"
"UltraTech Cement","ULTC","Strong Sell","Strong Sell","Strong Sell","Sell"
"Union Bank of India","UNBK","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"United Breweries","UBBW","Strong Buy","Sell","Neutral","Strong Buy"
"United Spirits","UNSP","Buy","Buy","Strong Sell","Sell"
"UPL","UPLL","Strong Sell","Neutral","Neutral","Sell"
"V Guard Industries","VGUA","Strong Sell","Neutral","Strong Sell","Sell"
"Vakrangee Softwares","VAKR","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Vedanta","VDAN","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Vodafone Idea","VODA","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Voltas","VOLT","Strong Sell","Strong Sell","Strong Sell","Sell"
"Welspun","WLSP","Strong Sell","Buy","Neutral","Neutral"
"Wipro","WIPR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Wockhardt","WCKH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Yes Bank","YESB","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Zee Entertainment","ZEE","Strong Sell","Neutral","Strong Sell","Sell"
